-70,-28,-15,-13,-19,-21,53,69,2
8,5,3,0,-3,-7,7,-71,2
63,-7,-3,-2,-2,-5,-44,29,2
-14,4,4,2,4,4,-19,-62,2
87,6,0,2,7,3,-5,-51,2
9,9,3,3,7,4,36,115,2
-95,-2,3,3,7,10,-21,-37,2
-79,-19,-14,-11,-12,-16,54,127,2
-23,-2,-1,0,2,-5,-118,-80,2
96,39,32,29,39,50,-59,86,2
-54,-39,-27,-25,-33,-43,85,-25,2
-77,-19,-18,-16,-20,-22,-16,-37,2
18,8,29,9,2,16,127,74,2
-49,-14,-54,-12,-11,-9,-98,-73,2
24,28,33,13,14,25,28,-10,2
-26,3,-5,-4,-3,-2,106,3,2
-22,13,8,-2,-4,-2,4,122,2
-58,-22,2,-1,-2,2,-24,-75,2
16,17,11,14,19,17,-117,-101,2
98,13,5,4,3,1,28,127,2
-64,-26,-31,-23,-23,-32,75,-9,2
-59,-6,4,-4,-8,-17,17,69,2
-39,-2,-7,-2,-7,-16,-60,-26,2
80,21,27,18,26,35,17,-45,2
-77,-3,-9,0,6,5,-99,-12,2
70,12,2,-7,-12,-16,-23,40,2
-14,-4,5,2,7,19,103,-31,2
71,19,15,15,15,5,-128,36,2
-22,-16,-11,-6,-26,-10,118,-31,2
15,0,11,3,28,14,-18,69,2
63,16,10,0,-5,6,-26,-21,2
-107,-24,-19,-25,-32,-6,76,-50,2
-28,-7,-27,2,-3,-2,-65,-128,2
-25,7,10,4,-18,5,-21,39,2
-41,-18,22,4,30,1,-67,20,2
7,-8,-29,-6,18,1,-37,-61,2
77,37,28,14,10,31,-12,63,2
-67,-29,-38,8,0,-17,97,-75,2
-27,-15,-20,-30,-34,-17,70,86,2
25,4,6,1,-16,-11,-31,22,2
67,36,41,37,55,73,26,89,2
125,33,15,2,-5,-5,-62,20,2
57,20,23,22,19,28,49,100,2
-107,-24,-20,-28,-34,-61,2,5,2
25,6,8,10,4,1,45,73,2
-27,-11,5,-11,-20,-12,-17,39,2
30,13,11,0,-18,-23,-95,20,2
-24,26,8,10,49,79,-21,-4,2
-31,-50,-44,-57,-46,-58,-69,-128,2
6,-16,-10,28,65,17,13,41,2
-66,-8,-9,12,26,-8,7,-103,2
79,0,1,-8,-8,-23,36,94,2
-25,28,42,29,21,27,69,27,2
-18,-19,-48,-32,-21,-29,-9,-36,2
114,16,34,-9,-25,-6,-4,23,2
-83,-46,-86,-2,-11,-20,-91,-109,2
-62,45,23,5,22,32,73,57,2
7,2,18,-13,-22,-13,108,-104,2
65,27,22,25,40,43,-63,34,2
15,-11,3,-1,-21,-18,71,46,2
10,-12,-25,-16,-26,-33,20,-51,2
18,12,14,2,-4,13,-46,-74,2
-54,-17,-15,9,-2,31,101,-85,2
-84,-10,5,-10,-21,-26,39,10,2
9,-8,-8,4,5,1,-64,6,2
80,31,27,6,7,29,127,39,2
-71,-21,-26,-41,-58,-68,16,66,2
37,21,-11,49,32,37,-94,13,2
-24,-38,-27,-33,-7,-20,33,60,2
47,15,19,13,20,30,38,-98,2
15,-11,-23,-12,-3,-13,-108,-61,2
69,21,36,1,-2,16,88,82,2
-47,-26,-11,1,-17,-40,-128,-115,2
91,13,17,19,21,46,55,96,2
-75,-34,-49,-27,-30,-50,-62,-34,2
-80,-17,28,-8,-12,-43,-106,38,2
