46   ,-102 ,-7   ,1    ,14   ,-50  ,-38  ,-43  0
-66  ,20   ,-2   ,18   ,4    ,19   ,23   ,61   0
-113 ,19   ,-1   ,50   ,-9   ,-5   ,-55  ,-101 0
88   ,-61  ,-13  ,-84  ,4    ,-17  ,34   ,40   0
92   ,71   ,17   ,-128 ,-19  ,32   ,98   ,12   0
-40  ,-6   ,-19  ,64   ,6    ,-33  ,-76  ,43   0
-40  ,-6   ,-19  ,64   ,6    ,-33  ,-76  ,43   0
101  ,68   ,45   ,44   ,31   ,69   ,-4   ,-84  0
73   ,-84  ,-23  ,-43  ,-36  ,-84  ,21   ,16   0
-65  ,127  ,31   ,-64  ,-17  ,-27  ,-81  ,31   0
70   ,-66  ,-22  ,-96  ,16   ,0    ,5    ,-78  0
70   ,-66  ,-22  ,-96  ,16   ,0    ,5    ,-78  0
48   ,60   ,1    ,-107 ,-13  ,7    ,-24  ,-11  0
9    ,-68  ,-5   ,75   ,17   ,38   ,32   ,-12  0
21   ,77   ,-21  ,-17  ,5    ,10   ,36   ,73   0
127  ,55   ,19   ,-47  ,-33  ,-28  ,43   ,104  0
127  ,55   ,19   ,-47  ,-33  ,-28  ,43   ,104  0
-2   ,11   ,22   ,5    ,-15  ,26   ,97   ,-87  0
-34  ,-46  ,-66  ,-85  ,17   ,-23  ,-26  ,93   0
-128 ,61   ,41   ,-26  ,-5   ,-1   ,-49  ,-84  0
89   ,3    ,-40  ,59   ,24   ,42   ,9    ,-21  0
89   ,3    ,-40  ,59   ,24   ,42   ,9    ,-21  0
110  ,23   ,-37  ,-71  ,21   ,9    ,84   ,-26  0
37   ,10   ,115  ,93   ,0    ,-8   ,57   ,11   0
86   ,-56  ,-76  ,-71  ,0    ,1    ,125  ,49   0
23   ,24   ,52   ,-68  ,-44  ,-51  ,-22  ,-56  0
23   ,24   ,52   ,-68  ,-44  ,-51  ,-22  ,-56  0
79   ,63   ,-90  ,63   ,35   ,14   ,95   ,102  0
-47  ,45   ,48   ,50   ,0    ,49   ,-51  ,-68  0
-47  ,45   ,48   ,50   ,0    ,49   ,-51  ,-68  0
83   ,100  ,-27  ,-81  ,-6   ,2    ,67   ,-65  0
79   ,-103 ,10   ,-71  ,-7   ,-48  ,-30  ,54   0
33   ,68   ,-83  ,42   ,46   ,-6   ,32   ,-5   0
21   ,-26  ,21   ,82   ,-2   ,-10  ,-6   ,2    0
21   ,-26  ,21   ,82   ,-2   ,-10  ,-6   ,2    0
41   ,82   ,17   ,-6   ,17   ,38   ,-10  ,-40  0
-94  ,66   ,-26  ,-92  ,32   ,77   ,78   ,25   0
-64  ,56   ,21   ,-50  ,-34  ,-38  ,23   ,-5   0
-56  ,-97  ,30   ,23   ,-13  ,-32  ,-26  ,-24  0
59   ,34   ,-21  ,-50  ,-10  ,-3   ,-27  ,20   0
27   ,127  ,5    ,-70  ,-5   ,57   ,127  ,53   0
27   ,127  ,5    ,-70  ,-5   ,57   ,127  ,53   0
72   ,-48  ,44   ,48   ,7    ,-5   ,-73  ,74   0
-9   ,125  ,10   ,29   ,-29  ,-1   ,-34  ,-5   0
-53  ,-6   ,30   ,35   ,-20  ,-15  ,-4   ,18   0
57   ,-46  ,-61  ,-41  ,-12  ,-38  ,-27  ,21   0
57   ,-46  ,-61  ,-41  ,-12  ,-38  ,-27  ,21   0
17   ,93   ,24   ,-30  ,-18  ,-6   ,3    ,-36  0
-53  ,8    ,-16  ,-74  ,0    ,14   ,105  ,-51  0
