3    ,-1   ,-11  ,-17  ,1    ,-1   ,30   ,-9   0
-8   ,-4   ,2    ,0    ,0    ,1    ,-1   ,-1   0
0    ,5    ,-5   ,1    ,-3   ,1    ,3    ,-2   0
-7   ,4    ,3    ,-7   ,-4   ,1    ,1    ,2    0
-6   ,1    ,-2   ,6    ,-3   ,0    ,-3   ,-8   0
-14  ,5    ,-5   ,-38  ,-6   ,2    ,-1   ,-7   0
49   ,7    ,-8   ,12   ,1    ,3    ,3    ,-1   0
3    ,-1   ,1    ,-18  ,-5   ,-2   ,1    ,-7   0
3    ,-1   ,1    ,-18  ,-5   ,-2   ,1    ,-7   0
8    ,9    ,2    ,6    ,-3   ,0    ,-9   ,4    0
0    ,0    ,3    ,-5   ,-4   ,-6   ,-5   ,2    0
-5   ,5    ,14   ,-8   ,-6   ,-15  ,-17  ,0    0
7    ,-7   ,9    ,8    ,4    ,-9   ,22   ,-1   0
7    ,-7   ,9    ,8    ,4    ,-9   ,22   ,-1   0
-1   ,-7   ,-1   ,-1   ,2    ,18   ,-19  ,11   0
-4   ,-14  ,-4   ,-5   ,-2   ,18   ,39   ,30   0
-34  ,-10  ,-56  ,-17  ,-2   ,20   ,-5   ,-41  0
10   ,-10  ,22   ,16   ,0    ,-14  ,-5   ,-4   0
10   ,-10  ,22   ,16   ,0    ,-14  ,-5   ,-4   0
-11  ,4    ,27   ,8    ,1    ,-16  ,-14  ,-9   0
11   ,4    ,28   ,29   ,6    ,-24  ,-19  ,-16  0
-4   ,16   ,53   ,9    ,0    ,-51  ,-13  ,88   0
-7   ,-11  ,-8   ,10   ,5    ,68   ,9    ,-77  0
-7   ,-11  ,-8   ,10   ,5    ,68   ,9    ,-77  0
6    ,-31  ,-96  ,-40  ,-8   ,-22  ,-37  ,33   0
-10  ,9    ,96   ,29   ,6    ,64   ,89   ,-71  0
-14  ,-63  ,-43  ,-40  ,-6   ,37   ,18   ,3    0
-10  ,47   ,-6   ,13   ,1    ,-19  ,2    ,11   0
-10  ,47   ,-6   ,13   ,1    ,-19  ,2    ,11   0
-10  ,47   ,-6   ,13   ,1    ,-19  ,2    ,11   0
-3   ,31   ,12   ,-20  ,-4   ,-25  ,-11  ,13   0
-15  ,-45  ,8    ,1    ,-5   ,-28  ,-18  ,-31  0
-11  ,16   ,-44  ,-37  ,-12  ,-8   ,-40  ,-72  0
29   ,-6   ,38   ,23   ,2    ,-11  ,0    ,-6   0
7    ,-13  ,-72  ,0    ,3    ,20   ,3    ,23   0
1    ,0    ,37   ,14   ,4    ,2    ,2    ,13   0
-1   ,-9   ,6    ,9    ,-1   ,-1   ,8    ,9    0
-8   ,-13  ,-30  ,2    ,1    ,-5   ,-5   ,-6   0
-8   ,-13  ,-30  ,2    ,1    ,-5   ,-5   ,-6   0
2    ,8    ,14   ,13   ,-2   ,-19  ,-1   ,4    0
9    ,11   ,70   ,28   ,7    ,20   ,-14  ,11   0
-6   ,-12  ,-2   ,-48  ,-9   ,-1   ,14   ,45   0
-13  ,-12  ,96   ,-21  ,-3   ,12   ,51   ,-9   0
-13  ,-12  ,96   ,-21  ,-3   ,12   ,51   ,-9   0
-16  ,-50  ,-42  ,-3   ,0    ,-1   ,-9   ,-64  0
-1   ,38   ,79   ,-29  ,-14  ,7    ,-11  ,-9   0
3    ,8    ,76   ,44   ,8    ,-12  ,3    ,49   0
2    ,17   ,112  ,-17  ,-7   ,-11  ,-37  ,-39  0
2    ,17   ,112  ,-17  ,-7   ,-11  ,-37  ,-39  0
-5   ,-2   ,35   ,4    ,-2   ,-9   ,-4   ,14   0
9    ,15   ,-17  ,2    ,2    ,-5   ,19   ,-8   0
11   ,21   ,44   ,20   ,6    ,10   ,-2   ,8    0
-2   ,29   ,-128 ,0    ,0    ,-4   ,-3   ,25   0
-2   ,29   ,-128 ,0    ,0    ,-4   ,-3   ,25   0
-1   ,-15  ,-1   ,5    ,0    ,3    ,-8   ,-8   0
1    ,15   ,-61  ,-9   ,-2   ,5    ,10   ,6    0
-2   ,-7   ,-25  ,-8   ,-2   ,-8   ,-2   ,-7   0
-7   ,-5   ,41   ,11   ,-1   ,-3   ,-5   ,3    0
-7   ,-5   ,41   ,11   ,-1   ,-3   ,-5   ,3    0
-1   ,13   ,-16  ,-24  ,-3   ,7    ,1    ,-6   0
2    ,-6   ,-2   ,30   ,6    ,-7   ,-3   ,10   0
-2   ,-3   ,-15  ,-7   ,-2   ,-2   ,5    ,-2   0
-6   ,-4   ,-21  ,-7   ,-1   ,-1   ,-5   ,-5   0
-6   ,-4   ,-21  ,-7   ,-1   ,-1   ,-5   ,-5   0
7    ,20   ,32   ,2    ,1    ,5    ,-4   ,9    0
-3   ,-3   ,-23  ,-5   ,-2   ,-6   ,2    ,6    0
-3   ,-3   ,-23  ,-5   ,-2   ,-6   ,2    ,6    0
1    ,-5   ,-59  ,-1   ,0    ,2    ,0    ,-14  0
1    ,7    ,-24  ,7    ,-1   ,-2   ,-10  ,11   0
-1   ,1    ,56   ,8    ,-4   ,-2   ,1    ,0    0
1    ,-1   ,40   ,-18  ,-3   ,-3   ,4    ,-1   0
1    ,-1   ,40   ,-18  ,-3   ,-3   ,4    ,-1   0
-10  ,-18  ,-28  ,5    ,-1   ,-5   ,-21  ,-12  0
2    ,-1   ,-42  ,-19  ,-2   ,-2   ,10   ,8    0
2    ,3    ,65   ,11   ,-2   ,2    ,6    ,3    0
-1   ,-14  ,-35  ,-20  ,-1   ,-3   ,-5   ,-5   0
-1   ,-14  ,-35  ,-20  ,-1   ,-3   ,-5   ,-5   0
9    ,4    ,21   ,32   ,6    ,3    ,4    ,2    0
0    ,-22  ,10   ,-20  ,-4   ,-6   ,-8   ,27   0
-12  ,-4   ,-34  ,-7   ,-3   ,5    ,0    ,-61  0
1    ,-5   ,-55  ,10   ,-1   ,1    ,-4   ,33   0
1    ,-5   ,-55  ,10   ,-1   ,1    ,-4   ,33   0
-3   ,-10  ,21   ,-22  ,-9   ,-6   ,8    ,-22  0
1    ,3    ,-30  ,11   ,3    ,5    ,-6   ,36   0
3    ,-14  ,-55  ,-9   ,-1   ,1    ,1    ,-29  0
