-4,-4,113,29,2,3,-2,-3,0
-1,-18,91,8,22,3,2,-4,0
-23,-77,40,-10,-4,-1,-1,-6,0
-3,58,-32,-31,-28,-8,-4,0,0
-5,2,-84,8,2,2,-3,2,0
0,33,-24,-32,-14,4,-2,3,0
2,-44,-48,46,6,-3,5,6,0
9,64,69,-28,-8,-7,1,4,0
5,20,12,14,25,4,-1,2,0
-10,4,-62,10,10,3,0,1,0
11,8,49,12,-6,8,6,8,0
-13,-60,-128,-63,-34,-14,-3,-8,0
-3,43,49,14,13,-4,-3,-8,0
-8,42,-35,7,-3,0,0,-9,0
-2,-5,53,11,13,-1,-1,7,0
2,4,13,-14,-9,-5,0,-4,0
-5,-6,-46,-12,-24,-4,-6,-8,0
2,-7,-128,10,14,14,1,2,0
-13,-51,-7,-21,-6,-11,-7,-5,0
-5,-5,73,12,2,-1,-7,0,0
16,14,-35,32,27,8,9,11,0
-32,-71,74,-16,-15,-13,-9,-13,0
2,-2,-32,12,-13,0,-3,-7,0
1,88,127,-32,-23,-12,-11,-5,0
-8,21,-35,-7,-4,-1,0,1,0
-17,-19,-60,-10,7,-5,-8,-6,0
-5,-69,65,5,9,5,6,2,0
18,64,-86,29,24,3,2,5,0
-22,-1,-93,-5,-36,-8,-5,-8,0
-27,-65,-56,-43,-23,-22,-15,-16,0
-9,30,-29,-25,-13,-13,-4,-7,0
10,18,10,2,5,4,-2,7,0
8,-12,-17,32,7,5,0,1,0
14,28,63,33,22,7,7,6,0
-26,-25,-95,-85,-43,-16,-12,-14,0
9,-68,127,14,1,4,1,0,0
-3,31,-50,-19,-9,-15,-6,-10,0
-2,88,-114,5,-18,-16,-3,-4,0
2,48,56,-29,-10,3,4,1,0
-16,-16,36,-29,2,-3,-6,-7,0
8,-24,62,8,14,3,2,6,0
2,15,-53,7,-7,1,2,3,0
-12,-55,-62,-25,-6,-10,-6,-2,0
2,-40,11,34,1,7,0,-2,0
-25,-55,-123,-34,-14,-8,-9,-12,0
-7,-35,38,-51,-43,-14,-7,-8,0
6,6,35,43,26,1,1,3,0
10,-63,26,38,40,15,10,5,0
-8,96,111,-34,-22,-2,4,-4,0
5,-4,25,19,-5,1,-2,1,0
-16,-4,-23,-16,-12,-7,-9,-8,0
-1,-26,-24,-13,-2,-5,-1,-3,0
5,45,18,20,11,1,1,4,0
2,24,-36,-9,-10,-4,1,0,0
4,30,38,1,4,8,1,2,0
0,1,-72,-8,0,3,-5,0,0
11,34,-18,11,11,6,-2,4,0
1,25,-65,-18,-5,-4,-5,-1,0
6,68,54,2,-5,-1,3,-1,0
-1,-6,-6,3,-3,7,5,6,0
-25,-32,39,-1,3,-10,-9,-10,0
8,16,24,24,14,9,7,5,0
16,65,-27,11,5,5,7,5,0
-7,-45,38,-25,-16,-11,-6,-10,0
0,44,19,-3,-5,-2,-3,-4,0
7,14,0,-4,1,-9,0,0,0
18,62,-82,54,26,17,18,18,0
-17,-128,127,12,-7,5,2,-5,0
-33,20,-28,-56,-25,-26,-20,-19,0
