-2,0,1,-2,-1,0,1,-1,0
-1,-1,8,4,-1,-1,-2,-1,0
-2,1,1,1,-1,-2,-3,-2,0
0,1,2,0,0,-1,-3,-1,0
-1,0,-2,0,0,-2,-6,-3,0
-2,-3,-10,-6,-4,-1,4,-1,0
-1,-1,-2,-2,0,-3,-9,-1,0
4,1,-6,-2,0,-3,1,-1,0
-3,-1,3,-3,-2,-1,1,-2,0
-4,-9,-7,-2,-2,-1,-2,-2,0
2,4,0,2,0,0,-1,1,0
-4,-5,-15,-5,1,-1,-1,-4,0
3,1,-5,0,1,-5,-11,-2,0
3,9,10,9,0,-5,-9,-1,0
-5,-4,-13,-7,-3,3,14,-1,0
7,2,8,0,0,6,4,1,0
-10,-1,6,5,2,-2,0,-2,0
-2,-4,-8,-6,0,-2,-5,-1,0
0,2,6,1,-1,-3,-6,-1,0
-4,-1,-2,-4,-5,-3,-4,-2,0
0,-7,-6,-4,-2,1,1,-1,0
-3,-1,-9,-1,-2,-1,0,-2,0
-5,-5,-12,-6,0,-2,0,-3,0
-3,-7,0,0,-1,0,-1,-2,0
-1,-1,-1,0,-2,-2,-2,-1,0
1,3,0,2,1,-1,-2,-1,0
4,8,6,3,2,0,0,1,0
-2,-5,-3,-5,-5,-5,-3,-2,0
0,2,2,-2,-3,-3,0,0,0
-8,-10,-6,2,-1,-4,-3,-4,0
3,-3,-13,-6,-2,1,8,0,0
1,3,24,6,0,-2,-5,0,0
-2,-1,-9,-8,-3,0,1,0,0
1,5,12,-1,-3,-2,-4,0,0
-5,-5,-38,-10,-2,-5,-2,-2,0
1,0,2,5,2,0,1,-2,0
1,-5,-4,-1,-3,3,-1,0,0
-3,-1,8,5,3,3,4,-1,0
-2,-2,9,0,-1,1,-1,-1,0
-1,5,-12,-7,-4,-5,0,-1,0
1,-6,-5,-1,-1,-1,-1,-1,0
-1,-2,-6,-8,-3,-3,-4,-2,0
4,-1,6,4,0,-4,-4,-2,0
-12,-3,-11,-5,0,-1,-1,-2,0
9,1,21,5,-2,-2,3,0,0
3,-1,-2,-1,-3,-5,-3,-1,0
3,6,4,5,0,1,-3,1,0
5,-5,-2,-2,-2,0,-3,0,0
-13,0,-3,-4,-2,-2,-4,-5,0
-2,5,4,1,0,1,1,1,0
-1,-8,-7,-5,-4,-4,-7,-3,0
-3,-3,-11,-5,-5,-4,-3,-1,0
-2,-5,-23,-6,0,-1,3,0,0
18,-1,-1,-3,-1,2,2,0,0
-29,0,14,7,3,0,-3,-2,0
7,4,7,-2,1,2,-1,1,0
-4,-6,-16,-5,-4,-7,-12,-2,0
-1,-1,-6,-1,-2,0,3,-1,0
12,1,9,4,1,3,2,-1,0
-13,-6,-3,-2,1,0,1,-2,0
-7,1,6,-9,-10,-7,-4,-2,0
4,0,-7,3,3,-2,-4,-5,0
4,0,9,0,-2,2,2,-1,0
2,-5,-12,-4,-6,-3,-4,-5,0
5,2,5,0,2,-1,-2,-1,0
-29,-5,3,-2,-3,2,5,-2,0
-3,-1,-3,-3,-1,-4,0,0,0
-3,0,1,-2,-2,-1,-4,-2,0
1,-1,2,4,3,1,5,0,0
0,4,6,-3,-2,-1,-1,0,0
1,-3,-26,-10,-5,-4,-4,-4,0
-2,-3,2,-1,-1,-2,-2,-1,0
0,-2,-2,0,-3,-1,-3,-2,0
-4,-4,-3,-2,-4,-4,-7,0,0
1,-2,-13,-3,0,1,0,-1,0
1,-4,-5,-1,-1,-3,-1,-3,0
-9,-6,-12,-1,0,2,3,-1,0
4,3,8,-3,-1,-1,-1,-1,0
3,7,23,5,0,0,-3,2,0
0,-13,-6,4,1,1,4,-2,0
0,0,2,3,2,-1,-11,-2,0
-2,-2,-8,0,3,2,1,0,0
2,3,5,-2,-4,2,0,-2,0
7,3,-4,-2,-2,1,3,4,0
-16,0,8,1,1,-1,0,-4,0
2,-5,-8,-2,-1,-4,-1,2,0
-3,6,4,-2,-3,-5,-3,-2,0
-4,-3,3,1,1,1,-1,-2,0
5,-2,8,1,1,-1,1,2,0
8,0,-13,-1,0,-2,-4,-3,0
-8,-4,-10,-9,-5,-2,-4,-3,0
-5,2,3,0,-2,-1,-1,0,0
9,1,-2,0,-1,-2,-7,-2,0
-5,2,12,1,1,0,8,4,0
-4,-8,-6,1,0,0,0,-4,0
10,-3,-7,-1,-1,-2,-2,4,0
-9,1,6,3,0,3,2,-4,0
10,1,-3,-3,-3,-2,-5,0,0
-2,-4,3,-2,0,-3,-2,-4,0
-5,7,3,-1,-4,-4,-1,1,0
1,-1,-6,-5,-3,-2,-1,0,0
0,-1,1,-4,-4,2,0,0,0
-4,-8,-9,2,0,-5,-4,-2,0
1,8,3,0,-2,2,0,0,0
13,-2,-1,-2,-1,-3,1,-1,0
-31,-7,-8,-2,0,0,1,-8,0
0,1,11,-2,-3,-2,-1,3,0
-4,-6,-6,-1,-2,-5,-3,-3,0
0,-1,3,2,-1,0,1,1,0
4,-1,-6,-11,-6,-6,-6,-3,0
4,-4,3,3,1,0,0,1,0
-3,1,-1,-4,-2,-2,-2,-3,0
4,0,-8,-5,-3,-5,-20,6,0
-6,-3,7,1,0,5,20,14,0
-9,-3,11,-1,-1,0,3,-13,0
2,2,2,0,1,1,1,1,0
-4,3,-11,-5,-1,-1,-1,-4,0
7,3,4,1,0,-4,-11,10,0
1,-7,-11,2,0,-1,-3,5,0
-4,-2,17,-3,-3,-2,2,-6,0
-6,-10,-26,-8,-3,-1,3,2,0
-2,-4,-16,2,-2,-3,-6,-9,0
0,-1,2,-1,1,1,2,0,0
-3,0,-2,5,-2,-4,-6,-6,0
-1,-2,9,2,-1,-1,1,0,0
3,-1,-2,-4,-3,0,-1,-6,0
0,0,5,6,-1,0,-3,-1,0
3,4,0,3,-2,-3,-4,5,0
-10,-8,3,-2,-3,-1,3,-6,0
-2,-4,-12,0,1,-3,-3,-8,0
4,2,3,-3,-1,-2,-2,3,0
1,-5,-13,-6,0,0,1,-4,0
