-1,-19,7,-6,-11,-6,-19,-3,0
1,-9,0,0,-7,-6,-14,1,0
-1,19,-8,-2,-8,5,13,1,0
0,8,0,1,21,15,16,2,0
-3,-16,15,1,-5,-2,-16,-1,0
2,-12,-3,-2,-10,-15,-15,-2,0
-1,21,-13,1,4,3,19,2,0
-2,-22,2,-7,-33,-10,-20,-4,0
1,-6,0,0,12,7,-7,-1,0
2,21,-3,6,19,10,18,2,0
1,5,-13,-3,-1,-17,5,-1,0
2,-25,22,-3,-32,3,-21,0,0
1,-6,-9,-2,10,2,-2,2,0
0,12,3,-9,-5,-9,7,0,0
-2,14,-7,-1,8,1,13,-1,0
-2,-25,23,2,3,13,-14,-4,0
-1,-7,-10,7,5,2,-9,1,0
1,12,5,-5,-6,-9,8,0,0
-1,15,-5,5,4,2,12,2,0
0,-27,25,-1,-3,0,-15,1,0
2,-6,-6,-7,-10,-9,-15,0,0
-1,9,-3,-8,3,2,6,-3,0
-1,13,-7,6,12,4,16,1,0
2,-29,24,6,6,1,-16,-2,0
-2,-5,-5,-7,-9,-2,-9,-3,0
0,8,-1,-6,-22,-4,6,-1,0
-3,12,0,1,15,1,9,2,0
-3,-27,21,0,-5,-5,-17,-3,0
-2,-6,-12,-6,-11,1,-8,-4,0
-1,11,0,1,8,3,12,2,0
-5,8,-3,5,-6,-16,3,0,0
-2,-27,17,-8,0,13,-18,-4,0
2,-6,1,2,3,0,-6,1,0
2,10,1,6,-6,-11,10,1,0
-3,8,-6,-1,6,-7,7,-3,0
-3,-28,15,7,-1,3,-18,-1,0
-1,-4,-3,-6,-11,-3,-7,-3,0
1,9,-2,0,6,-6,6,0,0
-2,12,-7,1,7,2,10,1,0
-1,-23,18,-3,-26,-2,-15,0,0
4,-6,0,5,12,-2,-8,0,0
-1,11,-7,1,4,4,5,-1,0
-4,8,-4,0,-6,-8,9,-1,0
1,-27,8,-9,1,4,-24,-6,0
3,-5,1,3,5,15,-4,0,0
-2,11,-4,11,21,5,18,2,0
-2,6,1,-5,-6,-21,0,0,0
-7,-26,2,-12,-24,-9,-23,-6,0
0,-6,-4,-5,-2,8,-5,-4,0
2,15,-11,8,21,8,19,1,0
-3,6,-4,4,-1,5,6,-1,0
-1,-16,13,-4,7,1,-18,-3,0
-2,-11,-7,-9,-31,-11,-11,0,0
-1,19,-22,-6,6,-1,15,0,0
-3,1,4,1,1,-3,7,-3,0
1,-20,13,1,0,6,-12,-2,0
2,-9,-3,-3,-7,-3,-9,1,0
0,22,-10,1,19,0,10,0,0
-4,3,2,-1,-1,4,6,1,0
-1,-20,11,-2,-4,-4,-12,-2,0
0,-12,-6,-5,-8,-10,-10,-1,0
3,20,-14,-4,-7,-5,10,-1,0
-3,6,-7,-5,-6,-3,7,-3,0
0,-16,6,1,6,22,-7,0,0
3,-14,0,0,-1,-2,-7,0,0
-1,21,-12,2,11,-7,16,1,0
-1,3,-1,-1,-5,-7,1,-1,0
3,-19,8,-4,-9,-5,-16,-3,0
3,-9,-4,-7,-15,-1,-15,-1,0
1,24,-11,-4,-2,-3,13,2,0
-3,5,0,1,11,5,9,-1,0
-2,-19,5,0,18,10,-14,-3,0
1,-8,3,-3,-27,-7,-17,-1,0
-3,22,-9,2,1,-2,19,0,0
-1,2,-1,11,27,6,8,1,0
1,-24,12,2,0,2,-20,-2,0
0,-13,-16,-10,-14,-6,-13,-1,0
-3,24,-14,-11,-6,-6,14,-2,0
-4,3,-4,-2,0,-5,5,-1,0
-2,-23,6,0,-3,4,-17,-3,0
2,-15,0,-4,-7,-9,-12,0,0
1,23,-11,-1,4,13,13,3,0
1,2,2,10,18,12,11,1,0
2,-20,13,0,3,-4,-20,-3,0
2,-11,-4,-7,-25,-13,-17,-2,0
-3,24,-13,-1,-3,-4,18,1,0
-2,5,1,2,13,-2,9,0,0
-1,-22,11,-1,-7,-1,-16,-2,0
2,-10,0,-7,-17,1,-8,1,0
-2,22,-14,1,-3,2,20,1,0
-3,5,3,4,11,9,9,-1,0
-1,-25,10,3,1,-4,-19,-4,0
2,-8,-1,-4,-13,-5,-12,-1,0
-3,23,-21,-11,1,-7,16,1,0
-3,4,4,-1,2,-4,8,-3,0
-1,-22,13,-5,-9,0,-18,0,0
3,-10,-1,1,3,12,-8,-2,0
1,25,-14,2,7,6,20,-1,0
-5,3,3,9,19,-3,9,0,0
-3,-26,11,-6,-16,-6,-21,-4,0
1,-8,-1,2,-8,-2,-8,1,0
-2,25,-14,-4,13,-3,17,1,0
-1,4,8,0,-5,-4,6,-2,0
0,-22,3,-6,-4,0,-21,0,0
-3,-10,-5,-2,14,11,-3,-3,0
-1,23,-6,6,-14,-2,20,0,0
-1,-1,-11,-11,-1,-13,4,-3,0
0,-23,10,-2,-2,2,-18,-3,0
0,-9,-2,2,3,-1,-8,2,0
-3,26,-16,-4,-7,1,18,2,0
-3,-1,0,2,-3,-3,7,2,0
0,-22,11,-2,0,4,-14,-1,0
2,-4,-8,1,15,6,-4,1,0
-2,22,-13,5,1,-3,15,1,0
-2,1,-3,-2,-9,-6,2,0,0
-3,-22,12,-4,-9,0,-17,-3,0
2,-8,-2,-6,-19,-6,-10,-4,0
-3,25,-18,-4,2,-8,18,1,0
0,5,5,8,14,14,10,3,0
2,-26,17,3,5,-2,-22,-3,0
4,-11,-10,-3,-25,1,-10,-4,0
3,24,-18,-4,9,0,18,2,0
-2,2,3,1,9,-13,2,-1,0
1,-23,9,2,-8,1,-19,0,0
0,-5,-3,-2,-5,5,-9,0,0
-1,22,-10,2,9,6,18,-1,0
-1,-2,2,-5,3,-3,6,0,0
1,-23,15,-1,-13,-6,-18,-1,0
3,-2,-4,-1,-1,1,-12,-3,0
2,27,-9,5,-3,-9,21,1,0
-2,2,-1,-2,2,-4,3,-3,0
-1,-25,10,-5,-3,10,-15,-3,0
3,-5,-5,-1,-5,1,-11,-3,0
-6,20,-10,-6,-16,-18,12,0,0
-2,6,-2,1,22,-1,1,-3,0
-5,-23,12,-3,-16,8,-16,-4,0
3,-5,0,6,14,10,-1,3,0
3,20,-13,-1,6,-9,18,2,0
-3,-1,5,2,-1,-3,-3,1,0
-4,-26,11,-8,-11,-3,-22,-7,0
1,-3,-3,0,0,-4,-7,-3,0
-3,27,-8,1,-1,-3,17,0,0
-4,0,1,5,11,6,10,-2,0
0,-24,11,0,-2,5,-21,-5,0
1,-6,-5,-7,-11,-4,-11,-1,0
1,24,-12,-3,-6,-5,16,-2,0
-2,2,5,-4,9,-9,4,-1,0
-2,-27,13,2,4,5,-23,-2,0
-1,-4,-4,-3,-16,9,-4,0,0
-3,21,-12,2,17,-3,15,2,0
-3,-2,7,1,-3,-2,4,-3,0
2,-20,11,-3,-6,-8,-21,-4,0
4,-2,-6,-8,-5,3,-8,0,0
-4,20,-18,0,-2,-4,15,-1,0
-4,2,5,7,11,-1,6,-1,0
0,-27,11,1,-2,12,-19,-3,0
3,-3,-2,-3,-14,-3,-4,2,0
-3,23,-12,1,10,1,18,-1,0
-4,-5,4,2,13,-2,4,-5,0
-1,-23,12,-2,-22,-6,-21,-1,0
-2,-1,-11,-7,1,-10,-12,-1,0
0,27,-11,-5,-14,-2,20,-3,0
0,1,5,2,9,18,7,2,0
6,-26,13,5,7,-9,-19,1,0
2,-3,-6,-1,-2,-4,-8,-1,0
-3,20,-10,0,2,1,17,1,0
-2,-1,-1,-6,-10,-6,-2,-3,0
-5,-25,11,6,12,6,-15,-3,0
2,2,-5,0,6,2,-1,3,0
-2,21,-7,-3,-7,-7,14,4,0
-2,-4,2,-5,-6,-2,3,3,0
3,-21,8,2,11,4,-22,-2,0
3,-2,-6,0,-9,0,-3,1,0
-4,23,-11,-5,-5,-4,14,0,0
-4,2,4,-2,-12,-7,7,-2,0
2,-24,13,2,27,-1,-19,-1,0
1,-4,-10,-5,-28,-4,-5,-3,0
-2,21,-11,-4,7,11,23,5,0
-2,-3,-1,2,13,0,-1,-3,0
3,-28,13,3,-5,-6,-20,-2,0
-3,0,-9,-1,-4,3,-7,-2,0
0,25,-6,6,3,-7,16,-1,0
-5,-4,4,-4,11,1,0,-4,0
-2,-24,12,-1,-19,-14,-25,-3,0
2,-2,-12,-1,19,17,-2,1,0
1,22,-7,1,-12,-7,19,4,0
-4,-4,-1,-6,-6,-10,0,-4,0
1,-25,13,1,6,2,-23,-2,0
3,0,-8,-7,-5,0,-3,-1,0
-4,21,-11,-1,-6,6,17,1,0
-2,-4,9,1,4,-14,3,1,0
3,-28,10,1,2,11,-20,-2,0
0,0,-7,-2,8,9,-2,-2,0
0,22,-18,-9,-7,-3,19,3,0
-1,-1,9,8,6,-5,3,1,0
-3,-25,12,5,2,-8,-20,-2,0
1,3,-7,-2,-9,-2,-6,0,0
-4,20,-11,1,7,1,21,-1,0
0,-5,6,-3,2,4,5,0,0
-2,-27,8,-3,-3,0,-16,-1,0
-3,3,-7,4,-10,-3,-7,0,0
-5,22,-3,3,9,2,17,1,0
-2,-4,4,-6,0,-6,0,-1,0
3,-24,9,-7,-2,-3,-28,-5,0
-1,-1,-5,-11,-26,-6,-3,0,0
0,25,-12,11,35,21,28,2,0
4,-5,10,13,17,0,-2,0,0
4,-28,10,2,-15,-6,-24,-1,0
0,1,-9,-3,-9,-6,-5,-3,0
0,23,-12,-6,-8,-6,18,-2,0
-4,-5,2,-4,-7,-3,0,-1,0
-2,-26,10,-8,-11,-1,-20,-3,0
1,1,-7,-3,-1,3,-1,-3,0
-1,27,-10,5,16,14,23,4,0
4,-4,13,11,2,-8,3,2,0
2,-27,14,-5,-9,-5,-26,-5,0
0,0,-22,-17,2,-2,-3,-2,0
-2,23,-7,2,-8,2,20,1,0
-4,-6,7,0,16,-15,-1,-3,0
1,-28,10,-4,-19,2,-18,-1,0
3,3,-8,-5,2,11,0,1,0
-3,18,-12,5,2,-7,14,-2,0
-3,-7,5,-2,7,-4,2,0,0
1,-21,14,8,15,6,-17,0,0
3,3,-8,-11,-14,-2,-5,3,0
-5,22,-19,-5,-10,-6,18,-1,0
-1,-2,7,0,0,-9,-3,0,0
-1,-24,13,-5,-14,-9,-25,-4,0
4,6,-11,-5,-9,10,1,-2,0
-1,23,-11,5,15,14,25,1,0
-5,-6,6,5,32,1,-1,1,0
2,-22,14,5,-13,4,-19,-2,0
2,2,-11,-8,-14,-14,-6,-1,0
-3,20,-10,-4,-7,-9,16,-2,0
1,-4,7,-1,1,-1,1,1,0
0,-26,9,-5,-2,6,-22,-3,0
2,7,-10,-1,6,3,-1,2,0
-1,25,-10,7,11,-2,18,-3,0
-1,-5,2,1,-9,-6,-3,-3,0
-1,-28,12,-3,-4,9,-17,3,0
3,3,-10,-1,4,-1,4,-2,0
-6,15,-13,-4,0,-5,15,0,0
-5,-6,9,-2,-11,-10,-9,-4,0
-1,-24,8,-3,-6,5,-22,-3,0
3,7,-11,-2,0,9,7,1,0
-3,20,-5,12,12,7,20,6,0
-1,-6,5,-3,-10,-10,-9,-3,0
-2,-29,6,2,-4,-5,-17,-2,0
3,4,-10,1,10,7,2,0,0
-3,25,-11,0,7,1,21,3,0
-4,-4,4,-3,-5,-1,-4,0,0
-3,-29,6,-11,-10,3,-24,-2,0
1,9,-5,3,-6,3,2,4,0
-3,20,-11,-4,6,-1,21,-1,0
-2,-6,6,2,16,-4,-6,-6,0
2,-22,10,3,0,17,-16,-2,0
5,7,-6,4,-4,-2,3,3,0
-2,19,-21,-10,-4,-12,17,2,0
-5,-11,5,-4,-5,-3,-2,-2,0
2,-26,8,1,8,9,-16,0,0
1,5,-21,-7,-2,0,1,0,0
-2,21,-9,-1,-2,-12,13,-1,0
-3,-6,9,-5,-7,4,0,-3,0
1,-29,9,-5,-12,4,-18,-1,0
1,9,-7,4,10,-5,4,1,0
0,22,-9,1,11,-2,17,0,0
-3,-9,4,-7,-11,2,-7,-3,0
-1,-26,12,-3,-9,5,-17,-2,0
0,6,-6,7,6,-3,2,2,0
-1,19,-9,2,4,4,15,2,0
0,-8,5,-7,-6,-27,-11,-3,0
0,-25,8,-5,-19,13,-20,-4,0
0,13,-6,4,18,7,9,1,0
-1,19,-22,-4,12,5,15,-2,0
2,-9,10,-8,-16,-16,-5,0,0
-1,-24,12,4,10,9,-20,-5,0
3,8,-4,-2,1,-4,1,1,0
0,18,-7,4,-3,-7,15,1,0
-4,-7,10,1,1,9,-2,-3,0
1,-26,8,-13,-21,-8,-24,-3,0
-1,10,-11,0,3,1,7,0,0
-1,19,-6,4,33,10,17,3,0
1,-8,9,0,-17,-6,-5,-3,0
-3,-23,1,-12,-12,6,-20,-1,0
2,8,-8,0,-5,-3,5,-1,0
-3,19,-10,-5,-2,-12,15,-2,0
-2,-3,6,-1,7,7,-1,-3,0
1,-22,13,5,2,7,-16,-2,0
4,8,-5,4,3,-4,1,0,0
-6,16,-7,0,3,-2,18,-3,0
0,-11,-1,-3,-4,-3,-6,-1,0
-1,-28,13,-8,-20,-4,-23,-3,0
1,8,-12,0,-5,4,4,-1,0
0,25,-4,0,20,8,18,3,0
-5,-9,4,3,11,4,-1,-4,0
5,-22,11,1,-18,-9,-20,0,0
0,9,-9,1,26,7,6,1,0
-2,18,-1,3,-5,1,13,0,0
1,-7,7,-2,-14,-5,-3,0,0
1,-27,7,-7,-6,-1,-20,-2,0
-3,12,-7,4,7,3,4,-3,0
-4,16,-10,-5,-10,5,16,1,0
-1,-8,7,5,17,5,0,-1,0
2,-25,13,5,7,-1,-21,-4,0
-1,10,-8,0,-11,-10,2,-1,0
-2,22,-9,-2,2,-3,18,2,0
-1,-9,11,0,-2,1,-8,-3,0
2,-24,-1,-4,8,5,-20,-3,0
0,8,-4,1,-9,0,8,0,0
0,16,-15,-8,3,-2,15,0,0
0,-10,8,-2,2,-5,-7,0,0
-1,-23,9,-2,-10,-4,-19,-2,0
0,11,-10,-6,-1,-4,5,-3,0
0,16,-7,-4,-20,-16,13,-2,0
-3,-7,9,6,6,9,-1,-3,0
2,-28,-9,-12,-5,9,-17,0,0
1,11,-20,3,13,8,9,0,0
0,18,-6,1,1,-17,10,1,0
-2,-9,8,-8,-20,-16,-9,-5,0
1,-23,10,-7,-13,5,-23,-3,0
-1,12,-11,6,24,10,10,1,0
4,20,1,10,20,11,23,2,0
2,-15,7,-8,-16,-5,-7,-5,0
2,-21,9,-3,-4,-4,-23,-2,0
-2,15,-18,-5,-16,-11,2,-1,0
-2,20,-6,0,5,0,19,0,0
-4,-14,9,2,17,4,-8,-3,0
1,-28,11,-2,1,0,-22,0,0
3,16,-6,-2,-31,-9,4,-2,0
-1,22,-11,-4,10,8,22,-2,0
-5,-12,13,15,20,21,2,-3,0
-1,-26,0,-4,-1,-6,-22,-2,0
3,13,-4,7,7,-6,6,0,0
2,14,-5,4,1,1,15,3,0
-2,-8,8,-7,-18,-10,-11,-3,0
-1,-22,0,-10,6,5,-20,-2,0
